"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Booking Validation Tests","0","Date Selection Validation","1","1","","0"
"12","","0","","12","0","","0"
"0","Car Management","0","Car Categories","1","0","","0"
"0","Security","0","Authentication","1","0","","0"
"0","Booking System","0","Create Booking","1","0","","0"
"0","Car Management","0","Get Cars","1","0","","0"
"0","User Feedback","0","Reviews","1","0","","0"
"0","Security UI Tests","0","Vulnerability and Privacy Check","6","0","","0"
"0","Booking System","1","User Bookings","0","0","","0"
"0","API Tests","1","Auth","0","0","","0"
